id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,init_method,accuracy
0,uofc,gaussian,2,2,2.0,0.5,,100.0
0,gmm,gaussian,2,2,,0.5,random,100.0
0,gmm,gaussian,2,2,,0.5,kmeans++,100.0
0,gmm,gaussian,2,2,,0.5,hcm,100.0
0,gmm,gaussian,2,2,,0.5,uniform,100.0
0,gmm,gaussian,2,2,,0.5,stratified,100.0
0,hc,gaussian,2,2,,0.5,,100.0
1,uofc,gaussian,2,2,2.0,1.0,,100.0
1,gmm,gaussian,2,2,,1.0,random,100.0
1,gmm,gaussian,2,2,,1.0,kmeans++,100.0
1,gmm,gaussian,2,2,,1.0,hcm,100.0
1,gmm,gaussian,2,2,,1.0,uniform,100.0
1,gmm,gaussian,2,2,,1.0,stratified,100.0
1,hc,gaussian,2,2,,1.0,,100.0
2,uofc,gaussian,2,2,2.0,2.0,,99.6
2,gmm,gaussian,2,2,,2.0,random,99.4
2,gmm,gaussian,2,2,,2.0,kmeans++,99.4
2,gmm,gaussian,2,2,,2.0,hcm,99.4
2,gmm,gaussian,2,2,,2.0,uniform,99.4
2,gmm,gaussian,2,2,,2.0,stratified,99.4
2,hc,gaussian,2,2,,2.0,,50.1
3,uofc,gaussian,2,2,2.0,2.5,,97.39999999999999
3,gmm,gaussian,2,2,,2.5,random,97.3
3,gmm,gaussian,2,2,,2.5,kmeans++,97.3
3,gmm,gaussian,2,2,,2.5,hcm,97.3
3,gmm,gaussian,2,2,,2.5,uniform,97.3
3,gmm,gaussian,2,2,,2.5,stratified,97.3
3,hc,gaussian,2,2,,2.5,,50.1
4,uofc,gaussian,2,3,3.0,0.5,,100.0
4,gmm,gaussian,2,3,,0.5,random,55.400000000000006
4,gmm,gaussian,2,3,,0.5,kmeans++,100.0
4,gmm,gaussian,2,3,,0.5,hcm,100.0
4,gmm,gaussian,2,3,,0.5,uniform,100.0
4,gmm,gaussian,2,3,,0.5,stratified,100.0
4,hc,gaussian,2,3,,0.5,,100.0
5,uofc,gaussian,2,3,3.0,1.0,,100.0
5,gmm,gaussian,2,3,,1.0,random,59.199999999999996
5,gmm,gaussian,2,3,,1.0,kmeans++,100.0
5,gmm,gaussian,2,3,,1.0,hcm,100.0
5,gmm,gaussian,2,3,,1.0,uniform,100.0
5,gmm,gaussian,2,3,,1.0,stratified,100.0
5,hc,gaussian,2,3,,1.0,,100.0
6,uofc,gaussian,2,3,3.0,2.0,,99.6
6,gmm,gaussian,2,3,,2.0,random,99.6
6,gmm,gaussian,2,3,,2.0,kmeans++,99.6
6,gmm,gaussian,2,3,,2.0,hcm,99.6
6,gmm,gaussian,2,3,,2.0,uniform,99.6
6,gmm,gaussian,2,3,,2.0,stratified,99.6
6,hc,gaussian,2,3,,2.0,,66.60000000000001
7,uofc,gaussian,2,3,3.0,2.5,,98.3
7,gmm,gaussian,2,3,,2.5,random,98.4
7,gmm,gaussian,2,3,,2.5,kmeans++,98.4
7,gmm,gaussian,2,3,,2.5,hcm,98.4
7,gmm,gaussian,2,3,,2.5,uniform,98.4
7,gmm,gaussian,2,3,,2.5,stratified,98.4
7,hc,gaussian,2,3,,2.5,,33.5
8,uofc,gaussian,2,4,4.0,0.5,,100.0
8,gmm,gaussian,2,4,,0.5,random,63.4
8,gmm,gaussian,2,4,,0.5,kmeans++,100.0
8,gmm,gaussian,2,4,,0.5,hcm,100.0
8,gmm,gaussian,2,4,,0.5,uniform,100.0
8,gmm,gaussian,2,4,,0.5,stratified,100.0
8,hc,gaussian,2,4,,0.5,,100.0
9,uofc,gaussian,2,4,4.0,1.0,,99.9
9,gmm,gaussian,2,4,,1.0,random,67.7
9,gmm,gaussian,2,4,,1.0,kmeans++,99.9
9,gmm,gaussian,2,4,,1.0,hcm,99.9
9,gmm,gaussian,2,4,,1.0,uniform,99.9
9,gmm,gaussian,2,4,,1.0,stratified,99.9
9,hc,gaussian,2,4,,1.0,,75.1
10,uofc,gaussian,2,4,5.0,2.0,,85.2
10,gmm,gaussian,2,4,,2.0,random,75.5
10,gmm,gaussian,2,4,,2.0,kmeans++,97.39999999999999
10,gmm,gaussian,2,4,,2.0,hcm,97.39999999999999
10,gmm,gaussian,2,4,,2.0,uniform,97.39999999999999
10,gmm,gaussian,2,4,,2.0,stratified,97.3
10,hc,gaussian,2,4,,2.0,,50.2
11,uofc,gaussian,2,4,3.0,2.5,,74.5
11,gmm,gaussian,2,4,,2.5,random,71.39999999999999
11,gmm,gaussian,2,4,,2.5,kmeans++,93.60000000000001
11,gmm,gaussian,2,4,,2.5,hcm,94.0
11,gmm,gaussian,2,4,,2.5,uniform,93.89999999999999
11,gmm,gaussian,2,4,,2.5,stratified,73.8
11,hc,gaussian,2,4,,2.5,,25.2
12,uofc,gaussian,2,5,6.0,0.5,,90.60000000000001
12,gmm,gaussian,2,5,,0.5,random,100.0
12,gmm,gaussian,2,5,,0.5,kmeans++,100.0
12,gmm,gaussian,2,5,,0.5,hcm,100.0
12,gmm,gaussian,2,5,,0.5,uniform,79.80000000000001
12,gmm,gaussian,2,5,,0.5,stratified,59.9
12,hc,gaussian,2,5,,0.5,,80.10000000000001
13,uofc,gaussian,2,5,5.0,1.0,,98.0
13,gmm,gaussian,2,5,,1.0,random,98.0
13,gmm,gaussian,2,5,,1.0,kmeans++,98.0
13,gmm,gaussian,2,5,,1.0,hcm,98.0
13,gmm,gaussian,2,5,,1.0,uniform,74.3
13,gmm,gaussian,2,5,,1.0,stratified,70.5
13,hc,gaussian,2,5,,1.0,,60.0
