id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,init_method,accuracy
0,gmm,gaussian,2,2,,0.5,random,100
0,gmm,gaussian,2,2,,0.5,kmeans++,100
0,gmm,gaussian,2,2,,0.5,hcm,100
0,gmm,gaussian,2,2,,0.5,uniform,100
0,gmm,gaussian,2,2,,0.5,stratified,100
1,gmm,gaussian,2,2,,1,random,100
1,gmm,gaussian,2,2,,1,kmeans++,100
1,gmm,gaussian,2,2,,1,hcm,100
1,gmm,gaussian,2,2,,1,uniform,100
1,gmm,gaussian,2,2,,1,stratified,100
2,gmm,gaussian,2,2,,2,random,99.4
2,gmm,gaussian,2,2,,2,kmeans++,99.4
2,gmm,gaussian,2,2,,2,hcm,99.4
2,gmm,gaussian,2,2,,2,uniform,99.4
2,gmm,gaussian,2,2,,2,stratified,99.4
3,gmm,gaussian,2,2,,2.5,random,97.3
3,gmm,gaussian,2,2,,2.5,kmeans++,97.3
3,gmm,gaussian,2,2,,2.5,hcm,97.3
3,gmm,gaussian,2,2,,2.5,uniform,97.3
3,gmm,gaussian,2,2,,2.5,stratified,97.3
4,gmm,gaussian,2,3,,0.5,random,55.4
4,gmm,gaussian,2,3,,0.5,kmeans++,100
4,gmm,gaussian,2,3,,0.5,hcm,100
4,gmm,gaussian,2,3,,0.5,uniform,100
4,gmm,gaussian,2,3,,0.5,stratified,100
5,gmm,gaussian,2,3,,1,random,59.2
5,gmm,gaussian,2,3,,1,kmeans++,100
5,gmm,gaussian,2,3,,1,hcm,100
5,gmm,gaussian,2,3,,1,uniform,100
5,gmm,gaussian,2,3,,1,stratified,100
6,gmm,gaussian,2,3,,2,random,99.6
6,gmm,gaussian,2,3,,2,kmeans++,99.6
6,gmm,gaussian,2,3,,2,hcm,99.6
6,gmm,gaussian,2,3,,2,uniform,99.6
6,gmm,gaussian,2,3,,2,stratified,99.6
7,gmm,gaussian,2,3,,2.5,random,98.4
7,gmm,gaussian,2,3,,2.5,kmeans++,98.4
7,gmm,gaussian,2,3,,2.5,hcm,98.4
7,gmm,gaussian,2,3,,2.5,uniform,98.4
7,gmm,gaussian,2,3,,2.5,stratified,98.4
8,gmm,gaussian,2,4,,0.5,random,63.4
8,gmm,gaussian,2,4,,0.5,kmeans++,100
8,gmm,gaussian,2,4,,0.5,hcm,100
8,gmm,gaussian,2,4,,0.5,uniform,100
8,gmm,gaussian,2,4,,0.5,stratified,100
9,gmm,gaussian,2,4,,1,random,67.7
9,gmm,gaussian,2,4,,1,kmeans++,99.9
9,gmm,gaussian,2,4,,1,hcm,99.9
9,gmm,gaussian,2,4,,1,uniform,99.9
9,gmm,gaussian,2,4,,1,stratified,99.9
10,gmm,gaussian,2,4,,2,random,75.5
10,gmm,gaussian,2,4,,2,kmeans++,97.4
10,gmm,gaussian,2,4,,2,hcm,97.4
10,gmm,gaussian,2,4,,2,uniform,97.4
10,gmm,gaussian,2,4,,2,stratified,97.3
11,gmm,gaussian,2,4,,2.5,random,71.4
11,gmm,gaussian,2,4,,2.5,kmeans++,93.6
11,gmm,gaussian,2,4,,2.5,hcm,94
11,gmm,gaussian,2,4,,2.5,uniform,93.9
11,gmm,gaussian,2,4,,2.5,stratified,73.8
12,gmm,gaussian,2,5,,0.5,random,100
12,gmm,gaussian,2,5,,0.5,kmeans++,100
12,gmm,gaussian,2,5,,0.5,hcm,100
12,gmm,gaussian,2,5,,0.5,uniform,79.8
12,gmm,gaussian,2,5,,0.5,stratified,59.9
13,gmm,gaussian,2,5,,1,random,98
13,gmm,gaussian,2,5,,1,kmeans++,98
13,gmm,gaussian,2,5,,1,hcm,98
13,gmm,gaussian,2,5,,1,uniform,74.3
13,gmm,gaussian,2,5,,1,stratified,70.5
14,gmm,gaussian,2,5,,2,random,86.7
14,gmm,gaussian,2,5,,2,kmeans++,86.3
14,gmm,gaussian,2,5,,2,hcm,86.3
14,gmm,gaussian,2,5,,2,uniform,72.9
14,gmm,gaussian,2,5,,2,stratified,78.4
15,gmm,gaussian,2,5,,2.5,random,82.5
15,gmm,gaussian,2,5,,2.5,kmeans++,80.9
15,gmm,gaussian,2,5,,2.5,hcm,82.5
15,gmm,gaussian,2,5,,2.5,uniform,62.9
15,gmm,gaussian,2,5,,2.5,stratified,64.8
16,gmm,gaussian,2,6,,0.5,random,76.8
16,gmm,gaussian,2,6,,0.5,kmeans++,99.6
16,gmm,gaussian,2,6,,0.5,hcm,99.6
16,gmm,gaussian,2,6,,0.5,uniform,99.6
16,gmm,gaussian,2,6,,0.5,stratified,81.9
17,gmm,gaussian,2,6,,1,random,76.2
17,gmm,gaussian,2,6,,1,kmeans++,74.9
17,gmm,gaussian,2,6,,1,hcm,93.8
17,gmm,gaussian,2,6,,1,uniform,84.9
17,gmm,gaussian,2,6,,1,stratified,77.8
18,gmm,gaussian,2,6,,2,random,64.9
18,gmm,gaussian,2,6,,2,kmeans++,63.8
18,gmm,gaussian,2,6,,2,hcm,76.1
18,gmm,gaussian,2,6,,2,uniform,65.2
18,gmm,gaussian,2,6,,2,stratified,67.2
19,gmm,gaussian,2,6,,2.5,random,60.8
19,gmm,gaussian,2,6,,2.5,kmeans++,66.5
19,gmm,gaussian,2,6,,2.5,hcm,66.5
19,gmm,gaussian,2,6,,2.5,uniform,60.3
19,gmm,gaussian,2,6,,2.5,stratified,57.8
20,gmm,gaussian,2,7,,0.5,random,81.8
20,gmm,gaussian,2,7,,0.5,kmeans++,100
20,gmm,gaussian,2,7,,0.5,hcm,100
20,gmm,gaussian,2,7,,0.5,uniform,85.4
20,gmm,gaussian,2,7,,0.5,stratified,85.3
21,gmm,gaussian,2,7,,1,random,74
21,gmm,gaussian,2,7,,1,kmeans++,93
21,gmm,gaussian,2,7,,1,hcm,94.3
21,gmm,gaussian,2,7,,1,uniform,84.6
21,gmm,gaussian,2,7,,1,stratified,83.2
22,gmm,gaussian,2,7,,2,random,54.9
22,gmm,gaussian,2,7,,2,kmeans++,76.8
22,gmm,gaussian,2,7,,2,hcm,78.7
22,gmm,gaussian,2,7,,2,uniform,72.1
22,gmm,gaussian,2,7,,2,stratified,68.6
23,gmm,gaussian,2,7,,2.5,random,58.5
23,gmm,gaussian,2,7,,2.5,kmeans++,75.2
23,gmm,gaussian,2,7,,2.5,hcm,69.8
23,gmm,gaussian,2,7,,2.5,uniform,63.7
23,gmm,gaussian,2,7,,2.5,stratified,64.3
24,gmm,gaussian,3,2,,0.5,random,100
24,gmm,gaussian,3,2,,0.5,kmeans++,100
24,gmm,gaussian,3,2,,0.5,hcm,100
24,gmm,gaussian,3,2,,0.5,uniform,100
24,gmm,gaussian,3,2,,0.5,stratified,100
25,gmm,gaussian,3,2,,1,random,100
25,gmm,gaussian,3,2,,1,kmeans++,100
25,gmm,gaussian,3,2,,1,hcm,100
25,gmm,gaussian,3,2,,1,uniform,100
25,gmm,gaussian,3,2,,1,stratified,100
26,gmm,gaussian,3,2,,2,random,100
26,gmm,gaussian,3,2,,2,kmeans++,100
26,gmm,gaussian,3,2,,2,hcm,100
26,gmm,gaussian,3,2,,2,uniform,100
26,gmm,gaussian,3,2,,2,stratified,100
27,gmm,gaussian,3,2,,2.5,random,100
27,gmm,gaussian,3,2,,2.5,kmeans++,100
27,gmm,gaussian,3,2,,2.5,hcm,100
27,gmm,gaussian,3,2,,2.5,uniform,100
27,gmm,gaussian,3,2,,2.5,stratified,100
28,gmm,gaussian,3,3,,0.5,random,100
28,gmm,gaussian,3,3,,0.5,kmeans++,100
28,gmm,gaussian,3,3,,0.5,hcm,100
28,gmm,gaussian,3,3,,0.5,uniform,100
28,gmm,gaussian,3,3,,0.5,stratified,65.4
29,gmm,gaussian,3,3,,1,random,100
29,gmm,gaussian,3,3,,1,kmeans++,100
29,gmm,gaussian,3,3,,1,hcm,100
