id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,init_method,accuracy
0,gmm,gaussian,2,2,,0.5,random,100.0
1,gmm,gaussian,2,2,,1.0,random,100.0
2,gmm,gaussian,2,2,,2.0,random,99.4
3,gmm,gaussian,2,2,,2.5,random,97.3
4,gmm,gaussian,2,3,,0.5,random,55.400000000000006
5,gmm,gaussian,2,3,,1.0,random,59.199999999999996
6,gmm,gaussian,2,3,,2.0,random,99.6
7,gmm,gaussian,2,3,,2.5,random,98.4
8,gmm,gaussian,2,4,,0.5,random,63.4
9,gmm,gaussian,2,4,,1.0,random,67.7
10,gmm,gaussian,2,4,,2.0,random,75.5
11,gmm,gaussian,2,4,,2.5,random,71.39999999999999
12,gmm,gaussian,2,5,,0.5,random,100.0
13,gmm,gaussian,2,5,,1.0,random,98.0
14,gmm,gaussian,2,5,,2.0,random,86.7
15,gmm,gaussian,2,5,,2.5,random,82.5
16,gmm,gaussian,2,6,,0.5,random,76.8
17,gmm,gaussian,2,6,,1.0,random,76.2
18,gmm,gaussian,2,6,,2.0,random,64.9
19,gmm,gaussian,2,6,,2.5,random,60.8
20,gmm,gaussian,2,7,,0.5,random,81.8
21,gmm,gaussian,2,7,,1.0,random,74.0
22,gmm,gaussian,2,7,,2.0,random,54.900000000000006
23,gmm,gaussian,2,7,,2.5,random,58.5
24,gmm,gaussian,3,2,,0.5,random,100.0
25,gmm,gaussian,3,2,,1.0,random,100.0
26,gmm,gaussian,3,2,,2.0,random,100.0
27,gmm,gaussian,3,2,,2.5,random,100.0
28,gmm,gaussian,3,3,,0.5,random,100.0
29,gmm,gaussian,3,3,,1.0,random,100.0
30,gmm,gaussian,3,3,,2.0,random,97.3
31,gmm,gaussian,3,3,,2.5,random,94.5
32,gmm,gaussian,3,4,,0.5,random,74.5
33,gmm,gaussian,3,4,,1.0,random,63.800000000000004
34,gmm,gaussian,3,4,,2.0,random,65.5
35,gmm,gaussian,3,4,,2.5,random,65.60000000000001
36,gmm,gaussian,3,5,,0.5,random,72.89999999999999
37,gmm,gaussian,3,5,,1.0,random,77.2
38,gmm,gaussian,3,5,,2.0,random,75.6
39,gmm,gaussian,3,5,,2.5,random,72.89999999999999
40,gmm,gaussian,3,6,,0.5,random,57.199999999999996
41,gmm,gaussian,3,6,,1.0,random,56.2
42,gmm,gaussian,3,6,,2.0,random,59.199999999999996
43,gmm,gaussian,3,6,,2.5,random,72.39999999999999
44,gmm,gaussian,3,7,,0.5,random,79.0
45,gmm,gaussian,3,7,,1.0,random,78.7
46,gmm,gaussian,3,7,,2.0,random,68.4
47,gmm,gaussian,3,7,,2.5,random,68.8
48,gmm,gaussian,4,2,,0.5,random,100.0
49,gmm,gaussian,4,2,,1.0,random,100.0
50,gmm,gaussian,4,2,,2.0,random,100.0
51,gmm,gaussian,4,2,,2.5,random,100.0
52,gmm,gaussian,4,3,,0.5,random,100.0
53,gmm,gaussian,4,3,,1.0,random,100.0
54,gmm,gaussian,4,3,,2.0,random,99.9
55,gmm,gaussian,4,3,,2.5,random,99.7
56,gmm,gaussian,4,4,,0.5,random,71.2
57,gmm,gaussian,4,4,,1.0,random,100.0
58,gmm,gaussian,4,4,,2.0,random,100.0
59,gmm,gaussian,4,4,,2.5,random,99.9
60,gmm,gaussian,4,5,,0.5,random,56.49999999999999
61,gmm,gaussian,4,5,,1.0,random,57.8
62,gmm,gaussian,4,5,,2.0,random,78.5
63,gmm,gaussian,4,5,,2.5,random,78.60000000000001
64,gmm,gaussian,4,6,,0.5,random,81.5
65,gmm,gaussian,4,6,,1.0,random,77.9
66,gmm,gaussian,4,6,,2.0,random,81.5
67,gmm,gaussian,4,6,,2.5,random,82.1
68,gmm,gaussian,4,7,,0.5,random,83.2
69,gmm,gaussian,4,7,,1.0,random,83.1
70,gmm,gaussian,4,7,,2.0,random,80.60000000000001
71,gmm,gaussian,4,7,,2.5,random,78.2
72,gmm,gaussian,5,2,,0.5,random,100.0
73,gmm,gaussian,5,2,,1.0,random,100.0
74,gmm,gaussian,5,2,,2.0,random,100.0
75,gmm,gaussian,5,2,,2.5,random,100.0
76,gmm,gaussian,5,3,,0.5,random,56.00000000000001
77,gmm,gaussian,5,3,,1.0,random,54.900000000000006
78,gmm,gaussian,5,3,,2.0,random,54.50000000000001
79,gmm,gaussian,5,3,,2.5,random,55.900000000000006
80,gmm,gaussian,5,4,,0.5,random,64.1
81,gmm,gaussian,5,4,,1.0,random,64.1
82,gmm,gaussian,5,4,,2.0,random,67.10000000000001
83,gmm,gaussian,5,4,,2.5,random,66.7
84,gmm,gaussian,5,5,,0.5,random,72.1
85,gmm,gaussian,5,5,,1.0,random,72.0
86,gmm,gaussian,5,5,,2.0,random,72.1
87,gmm,gaussian,5,5,,2.5,random,71.0
88,gmm,gaussian,5,6,,0.5,random,80.2
89,gmm,gaussian,5,6,,1.0,random,78.4
90,gmm,gaussian,5,6,,2.0,random,78.8
91,gmm,gaussian,5,6,,2.5,random,78.0
92,gmm,gaussian,5,7,,0.5,random,100.0
93,gmm,gaussian,5,7,,1.0,random,100.0
94,gmm,gaussian,5,7,,2.0,random,99.6
95,gmm,gaussian,5,7,,2.5,random,98.7
96,gmm,gaussian,6,2,,0.5,random,100.0
97,gmm,gaussian,6,2,,1.0,random,100.0
98,gmm,gaussian,6,2,,2.0,random,100.0
99,gmm,gaussian,6,2,,2.5,random,99.9
100,gmm,gaussian,6,3,,0.5,random,100.0
101,gmm,gaussian,6,3,,1.0,random,100.0
102,gmm,gaussian,6,3,,2.0,random,100.0
103,gmm,gaussian,6,3,,2.5,random,99.9
104,gmm,gaussian,6,4,,0.5,random,64.5
105,gmm,gaussian,6,4,,1.0,random,64.5
106,gmm,gaussian,6,4,,2.0,random,68.89999999999999
107,gmm,gaussian,6,4,,2.5,random,67.80000000000001
108,gmm,gaussian,6,5,,0.5,random,50.6
109,gmm,gaussian,6,5,,1.0,random,51.7
110,gmm,gaussian,6,5,,2.0,random,76.1
111,gmm,gaussian,6,5,,2.5,random,56.3
112,gmm,gaussian,6,6,,0.5,random,75.9
113,gmm,gaussian,6,6,,1.0,random,79.0
114,gmm,gaussian,6,6,,2.0,random,100.0
115,gmm,gaussian,6,6,,2.5,random,99.8
116,gmm,gaussian,6,7,,0.5,random,79.60000000000001
117,gmm,gaussian,6,7,,1.0,random,79.80000000000001
118,gmm,gaussian,6,7,,2.0,random,79.80000000000001
119,gmm,gaussian,6,7,,2.5,random,79.7
120,gmm,gaussian,7,2,,0.5,random,100.0
121,gmm,gaussian,7,2,,1.0,random,100.0
122,gmm,gaussian,7,2,,2.0,random,100.0
123,gmm,gaussian,7,2,,2.5,random,100.0
124,gmm,gaussian,7,3,,0.5,random,55.2
125,gmm,gaussian,7,3,,1.0,random,63.0
126,gmm,gaussian,7,3,,2.0,random,64.60000000000001
127,gmm,gaussian,7,3,,2.5,random,64.60000000000001
128,gmm,gaussian,7,4,,0.5,random,62.5
129,gmm,gaussian,7,4,,1.0,random,66.0
130,gmm,gaussian,7,4,,2.0,random,72.89999999999999
131,gmm,gaussian,7,4,,2.5,random,72.89999999999999
132,gmm,gaussian,7,5,,0.5,random,70.8
133,gmm,gaussian,7,5,,1.0,random,71.2
134,gmm,gaussian,7,5,,2.0,random,73.5
135,gmm,gaussian,7,5,,2.5,random,71.39999999999999
136,gmm,gaussian,7,6,,0.5,random,76.7
137,gmm,gaussian,7,6,,1.0,random,76.7
138,gmm,gaussian,7,6,,2.0,random,76.7
139,gmm,gaussian,7,6,,2.5,random,76.7
140,gmm,gaussian,7,7,,0.5,random,80.5
141,gmm,gaussian,7,7,,1.0,random,80.5
142,gmm,gaussian,7,7,,2.0,random,79.80000000000001
143,gmm,gaussian,7,7,,2.5,random,78.7
144,gmm,gaussian,8,2,,0.5,random,100.0
145,gmm,gaussian,8,2,,1.0,random,100.0
146,gmm,gaussian,8,2,,2.0,random,100.0
147,gmm,gaussian,8,2,,2.5,random,100.0
148,gmm,gaussian,8,3,,0.5,random,100.0
149,gmm,gaussian,8,3,,1.0,random,100.0
150,gmm,gaussian,8,3,,2.0,random,100.0
151,gmm,gaussian,8,3,,2.5,random,100.0
152,gmm,gaussian,8,4,,0.5,random,100.0
153,gmm,gaussian,8,4,,1.0,random,100.0
154,gmm,gaussian,8,4,,2.0,random,75.4
155,gmm,gaussian,8,4,,2.5,random,78.8
156,gmm,gaussian,8,5,,0.5,random,71.5
157,gmm,gaussian,8,5,,1.0,random,74.3
158,gmm,gaussian,8,5,,2.0,random,76.8
159,gmm,gaussian,8,5,,2.5,random,76.7
160,gmm,gaussian,8,6,,0.5,random,57.9
161,gmm,gaussian,8,6,,1.0,random,62.0
162,gmm,gaussian,8,6,,2.0,random,63.800000000000004
