id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,distance_metric,accuracy
0,hc,gaussian,2,2,,0.5,min,100.0
0,hc,gaussian,2,2,,0.5,max,100.0
0,hc,gaussian,2,2,,0.5,avg,100.0
0,hc,gaussian,2,2,,0.5,mean,100.0
1,hc,gaussian,2,2,,1.0,min,100.0
1,hc,gaussian,2,2,,1.0,max,100.0
1,hc,gaussian,2,2,,1.0,avg,100.0
1,hc,gaussian,2,2,,1.0,mean,100.0
2,hc,gaussian,2,2,,2.0,min,100.0
2,hc,gaussian,2,2,,2.0,max,100.0
2,hc,gaussian,2,2,,2.0,avg,100.0
2,hc,gaussian,2,2,,2.0,mean,100.0
3,hc,gaussian,2,2,,2.5,min,51.0
3,hc,gaussian,2,2,,2.5,max,99.0
3,hc,gaussian,2,2,,2.5,avg,98.0
3,hc,gaussian,2,2,,2.5,mean,98.0
4,hc,gaussian,2,3,,0.5,min,100.0
4,hc,gaussian,2,3,,0.5,max,100.0
4,hc,gaussian,2,3,,0.5,avg,100.0
4,hc,gaussian,2,3,,0.5,mean,100.0
5,hc,gaussian,2,3,,1.0,min,100.0
5,hc,gaussian,2,3,,1.0,max,100.0
5,hc,gaussian,2,3,,1.0,avg,100.0
5,hc,gaussian,2,3,,1.0,mean,100.0
6,hc,gaussian,2,3,,2.0,min,69.0
6,hc,gaussian,2,3,,2.0,max,100.0
6,hc,gaussian,2,3,,2.0,avg,99.0
6,hc,gaussian,2,3,,2.0,mean,99.0
7,hc,gaussian,2,3,,2.5,min,69.0
7,hc,gaussian,2,3,,2.5,max,99.0
7,hc,gaussian,2,3,,2.5,avg,99.0
7,hc,gaussian,2,3,,2.5,mean,99.0
8,hc,gaussian,2,4,,0.5,min,100.0
8,hc,gaussian,2,4,,0.5,max,100.0
8,hc,gaussian,2,4,,0.5,avg,100.0
8,hc,gaussian,2,4,,0.5,mean,100.0
9,hc,gaussian,2,4,,1.0,min,100.0
9,hc,gaussian,2,4,,1.0,max,100.0
9,hc,gaussian,2,4,,1.0,avg,100.0
9,hc,gaussian,2,4,,1.0,mean,100.0
10,hc,gaussian,2,4,,2.0,min,75.0
10,hc,gaussian,2,4,,2.0,max,97.0
10,hc,gaussian,2,4,,2.0,avg,96.0
10,hc,gaussian,2,4,,2.0,mean,96.0
11,hc,gaussian,2,4,,2.5,min,75.0
11,hc,gaussian,2,4,,2.5,max,88.0
11,hc,gaussian,2,4,,2.5,avg,92.0
11,hc,gaussian,2,4,,2.5,mean,75.0
12,hc,gaussian,2,5,,0.5,min,100.0
12,hc,gaussian,2,5,,0.5,max,100.0
12,hc,gaussian,2,5,,0.5,avg,100.0
12,hc,gaussian,2,5,,0.5,mean,100.0
13,hc,gaussian,2,5,,1.0,min,99.0
13,hc,gaussian,2,5,,1.0,max,99.0
13,hc,gaussian,2,5,,1.0,avg,99.0
13,hc,gaussian,2,5,,1.0,mean,99.0
14,hc,gaussian,2,5,,2.0,min,41.0
14,hc,gaussian,2,5,,2.0,max,67.0
14,hc,gaussian,2,5,,2.0,avg,77.0
14,hc,gaussian,2,5,,2.0,mean,80.0
15,hc,gaussian,2,5,,2.5,min,41.0
15,hc,gaussian,2,5,,2.5,max,75.0
15,hc,gaussian,2,5,,2.5,avg,60.0
15,hc,gaussian,2,5,,2.5,mean,61.0
16,hc,gaussian,2,6,,0.5,min,83.0
16,hc,gaussian,2,6,,0.5,max,100.0
16,hc,gaussian,2,6,,0.5,avg,100.0
16,hc,gaussian,2,6,,0.5,mean,100.0
