id,algorithm,dataset_type,n_features,n_centers,estimated_n_centers,cluster_std,init_method,distance_metric,criterion,accuracy
0,uofc,gaussian,2,2,2,0.5,,,silhouette,100.0
0,uofc,gaussian,2,2,2,0.5,,,trace,100.0
0,uofc,gaussian,2,2,6,0.5,,,hypervolume,35.8
0,uofc,gaussian,2,2,2,0.5,,,partition_density,100.0
0,uofc,gaussian,2,2,7,0.5,,,avg_partition_density,37.4
0,uofc,gaussian,2,2,2,0.5,,,max_avg_partition_density,100.0
0,uofc,gaussian,2,2,7,0.5,,,normalized_partition_coeff,37.4
0,uofc,gaussian,2,2,7,0.5,,,invariant,37.4
1,uofc,gaussian,2,2,2,1.0,,,silhouette,100.0
1,uofc,gaussian,2,2,2,1.0,,,trace,100.0
1,uofc,gaussian,2,2,6,1.0,,,hypervolume,35.8
1,uofc,gaussian,2,2,2,1.0,,,partition_density,100.0
1,uofc,gaussian,2,2,7,1.0,,,avg_partition_density,37.3
1,uofc,gaussian,2,2,2,1.0,,,max_avg_partition_density,100.0
1,uofc,gaussian,2,2,7,1.0,,,normalized_partition_coeff,37.3
1,uofc,gaussian,2,2,7,1.0,,,invariant,37.3
2,uofc,gaussian,2,2,2,2.0,,,silhouette,99.6
2,uofc,gaussian,2,2,2,2.0,,,trace,99.6
2,uofc,gaussian,2,2,7,2.0,,,hypervolume,32.800000000000004
2,uofc,gaussian,2,2,2,2.0,,,partition_density,99.6
2,uofc,gaussian,2,2,7,2.0,,,avg_partition_density,32.800000000000004
2,uofc,gaussian,2,2,2,2.0,,,max_avg_partition_density,99.6
2,uofc,gaussian,2,2,7,2.0,,,normalized_partition_coeff,32.800000000000004
2,uofc,gaussian,2,2,7,2.0,,,invariant,32.800000000000004
3,uofc,gaussian,2,2,2,2.5,,,silhouette,97.39999999999999
3,uofc,gaussian,2,2,2,2.5,,,trace,97.39999999999999
3,uofc,gaussian,2,2,7,2.5,,,hypervolume,33.2
3,uofc,gaussian,2,2,2,2.5,,,partition_density,97.39999999999999
3,uofc,gaussian,2,2,7,2.5,,,avg_partition_density,33.2
3,uofc,gaussian,2,2,2,2.5,,,max_avg_partition_density,97.39999999999999
3,uofc,gaussian,2,2,7,2.5,,,normalized_partition_coeff,33.2
3,uofc,gaussian,2,2,7,2.5,,,invariant,33.2
4,uofc,gaussian,2,3,3,0.5,,,silhouette,100.0
4,uofc,gaussian,2,3,3,0.5,,,trace,100.0
4,uofc,gaussian,2,3,7,0.5,,,hypervolume,47.5
4,uofc,gaussian,2,3,3,0.5,,,partition_density,100.0
4,uofc,gaussian,2,3,6,0.5,,,avg_partition_density,76.5
4,uofc,gaussian,2,3,3,0.5,,,max_avg_partition_density,100.0
4,uofc,gaussian,2,3,2,0.5,,,normalized_partition_coeff,66.7
4,uofc,gaussian,2,3,6,0.5,,,invariant,76.5
5,uofc,gaussian,2,3,3,1.0,,,silhouette,100.0
5,uofc,gaussian,2,3,3,1.0,,,trace,100.0
5,uofc,gaussian,2,3,7,1.0,,,hypervolume,47.699999999999996
5,uofc,gaussian,2,3,3,1.0,,,partition_density,100.0
5,uofc,gaussian,2,3,7,1.0,,,avg_partition_density,47.699999999999996
5,uofc,gaussian,2,3,3,1.0,,,max_avg_partition_density,100.0
5,uofc,gaussian,2,3,2,1.0,,,normalized_partition_coeff,66.7
5,uofc,gaussian,2,3,7,1.0,,,invariant,47.699999999999996
6,uofc,gaussian,2,3,3,2.0,,,silhouette,99.6
6,uofc,gaussian,2,3,3,2.0,,,trace,99.6
6,uofc,gaussian,2,3,7,2.0,,,hypervolume,46.0
6,uofc,gaussian,2,3,3,2.0,,,partition_density,99.6
6,uofc,gaussian,2,3,7,2.0,,,avg_partition_density,46.0
6,uofc,gaussian,2,3,2,2.0,,,max_avg_partition_density,66.7
6,uofc,gaussian,2,3,7,2.0,,,normalized_partition_coeff,46.0
6,uofc,gaussian,2,3,7,2.0,,,invariant,46.0
7,uofc,gaussian,2,3,3,2.5,,,silhouette,98.4
7,uofc,gaussian,2,3,3,2.5,,,trace,98.4
7,uofc,gaussian,2,3,7,2.5,,,hypervolume,47.099999999999994
7,uofc,gaussian,2,3,3,2.5,,,partition_density,98.4
7,uofc,gaussian,2,3,7,2.5,,,avg_partition_density,47.099999999999994
7,uofc,gaussian,2,3,2,2.5,,,max_avg_partition_density,66.7
7,uofc,gaussian,2,3,7,2.5,,,normalized_partition_coeff,47.099999999999994
7,uofc,gaussian,2,3,7,2.5,,,invariant,47.099999999999994
8,uofc,gaussian,2,4,4,0.5,,,silhouette,100.0
8,uofc,gaussian,2,4,4,0.5,,,trace,100.0
8,uofc,gaussian,2,4,7,0.5,,,hypervolume,71.89999999999999
8,uofc,gaussian,2,4,4,0.5,,,partition_density,100.0
8,uofc,gaussian,2,4,7,0.5,,,avg_partition_density,71.89999999999999
8,uofc,gaussian,2,4,4,0.5,,,max_avg_partition_density,100.0
8,uofc,gaussian,2,4,2,0.5,,,normalized_partition_coeff,50.0
8,uofc,gaussian,2,4,7,0.5,,,invariant,71.89999999999999
9,uofc,gaussian,2,4,4,1.0,,,silhouette,99.9
9,uofc,gaussian,2,4,4,1.0,,,trace,99.9
9,uofc,gaussian,2,4,6,1.0,,,hypervolume,76.2
9,uofc,gaussian,2,4,4,1.0,,,partition_density,99.9
9,uofc,gaussian,2,4,7,1.0,,,avg_partition_density,71.8
9,uofc,gaussian,2,4,4,1.0,,,max_avg_partition_density,99.9
9,uofc,gaussian,2,4,2,1.0,,,normalized_partition_coeff,50.0
9,uofc,gaussian,2,4,7,1.0,,,invariant,71.8
10,uofc,gaussian,2,4,3,2.0,,,silhouette,75.0
10,uofc,gaussian,2,4,4,2.0,,,trace,97.2
10,uofc,gaussian,2,4,7,2.0,,,hypervolume,63.1
10,uofc,gaussian,2,4,4,2.0,,,partition_density,97.2
10,uofc,gaussian,2,4,7,2.0,,,avg_partition_density,63.1
10,uofc,gaussian,2,4,2,2.0,,,max_avg_partition_density,50.0
10,uofc,gaussian,2,4,7,2.0,,,normalized_partition_coeff,63.1
10,uofc,gaussian,2,4,7,2.0,,,invariant,63.1
11,uofc,gaussian,2,4,3,2.5,,,silhouette,74.6
11,uofc,gaussian,2,4,4,2.5,,,trace,93.89999999999999
11,uofc,gaussian,2,4,7,2.5,,,hypervolume,61.7
11,uofc,gaussian,2,4,4,2.5,,,partition_density,93.89999999999999
11,uofc,gaussian,2,4,7,2.5,,,avg_partition_density,61.7
11,uofc,gaussian,2,4,2,2.5,,,max_avg_partition_density,50.0
11,uofc,gaussian,2,4,7,2.5,,,normalized_partition_coeff,61.7
11,uofc,gaussian,2,4,7,2.5,,,invariant,61.7
12,uofc,gaussian,2,5,5,0.5,,,silhouette,100.0
12,uofc,gaussian,2,5,5,0.5,,,trace,100.0
12,uofc,gaussian,2,5,7,0.5,,,hypervolume,81.0
12,uofc,gaussian,2,5,5,0.5,,,partition_density,100.0
12,uofc,gaussian,2,5,7,0.5,,,avg_partition_density,81.0
12,uofc,gaussian,2,5,5,0.5,,,max_avg_partition_density,100.0
12,uofc,gaussian,2,5,2,0.5,,,normalized_partition_coeff,40.0
12,uofc,gaussian,2,5,2,0.5,,,invariant,40.0
13,uofc,gaussian,2,5,4,1.0,,,silhouette,79.9
13,uofc,gaussian,2,5,6,1.0,,,trace,87.9
